Title,Artist,Price,Themes,Dimensions,Style,Description,Link,Image
Sunset,Andy Ridder,402.9,"['Seascape', 'Sunset', 'Schwarz/Weiß', 'Horizont', 'KI Kunst', 'Traum']",60x60 cm,Meer,"Zwischen Traum und Wirklichkeit, fiktive Welten, nicht existent und doch der Realität zum Greifen nahe...bereit sie zu beschreiten, um darin einzutauchen für unbestimmte Zeit... 
 
 
--- Premium Print auf Hahnemühle FineArt Baryta in Museumsqualität ---

                [...]",https://www.artmajeur.com/andy-ridder/en/artworks/17211574/sunset,downloaded_images/17211574_sunset.jpg
Gooofy Pooofy #1,Koen Haarbosch,1233.41,"['graffiti', 'minimal', 'abstract expressionism', 'colorful', 'yellow', 'orange', 'modern cubism', 'street art', 'linework', 'eyes', 'doodle artwork']",100x100 cm,Abstract,"Enlarging my doodles has always fascinated me. 
Blowing them up gives a completely different experience to the artwork. 
 
After I have a stack of drawings I will remix and edit them. 
I first do this analogously, by tracing and combining them. 
Then I digitize the work I want to continue with and complete it digitally.",https://www.artmajeur.com/analooog/en/artworks/16670011/gooofy-pooofy-1,downloaded_images/16670011_anl00267-01-100x100-01.jpg
Sleeping Old Man,Andries De Jong,25.0,[],,Figurative,"About this artwork: Classification, Techniques & Styles
                      Figurative      Figurative and colorful painting having taken the liberty of including all forms of art[...]",https://www.artmajeur.com/andries-de-jong/en/artworks/17874319/sleeping-old-man,downloaded_images/17874319_sleeping-old-man.jpg
Fog,Alena Ps,115.08,[],,Figurative,"This art is part of the ""The Frames"" series. 
 
""The Frames"" series of works explores the interaction between reality and creativity, delving into the nature of this boundary. 
 
In a physical sense, the border is the frame within which an artist places their work. Centimeters or millimeters separate the magical[...]",https://www.artmajeur.com/alena-ps/en/artworks/17798857/fog,downloaded_images/17798857_gallery-508.jpg
Sunless,Maximilien Brun,,"['portrait', 'femme', 'lumiere', 'ombre']",,Figurative,"Sunless 60x80cm

                
                    About this artwork: Classification, Techniques & Styles
                      Figurative      Figurative and colorful painting having taken the liberty of including[...]",https://www.artmajeur.com/maximilien-brun/en/artworks/17499253/sunless,downloaded_images/17499253_sunless-70x80-300dpi.jpg
Nft Art32,Igor Davydov,,"['salvador dali', 'ai']",,Conceptual Art,"Inspiration: 
This work is in honour of Salvador Dali. I admire the history of this artist, and I am interested not only in his work but also in his life itself. Are you aware that Salvador Dali actively explored advanced technologies in his work? For example, holography is the forerunner of the modern digital universe – virtual and augmented[...]",https://www.artmajeur.com/igordavydov/en/artworks/17173861/nft-art32-1461-3333-immortality,downloaded_images/17173861_nftart-32-life-after-dead-25-8-23serie-by-igdrus.jpg
Back To Eternity,John Enright,82.5,"['asian art', 'art of japan', 'art of the figure', 'nude', 'tattoo', 'portraiture', 'woman', 'realism', 'gold leaf', 'gallery art', 'collector art', 'asian nude', 'art of love', 'amoure', 'romantic art']",,Figurative,An elegant woman's portrait is revealed in gentle tones and a gold leaf background lending a sophistication and intrigue. She has a tattoo on her right shoulder and is draped in golden silk. Her demeanor is suggestive of passion and love. Her hair is a shiny black waterfall that cascades down her side. As an artist I am inspired by the asian culture[...],https://www.artmajeur.com/john-enright/en/artworks/17750902/back-to-eternity,downloaded_images/17750902_back-to-eternity.jpg
L'arbre Paon,Blaise Lavenex,74.08,"['arbre', 'paon', 'art numérique', 'intelligence artificielle', 'forêt', 'Amazonie', '.savane', 'yeux', 'plumes', 'animaux', 'explorateurs', 'feuilles', 'volatile', 'oiseau']",,Expressionism,"DANS LA FORET AMAZONIENNE OU PLUSIEURES ESPECES ANIMALES SE COTOIENT, QUELLE NE FUT PAS LA SURPRISE, NOUS LES EXPLORATEURS DE DECOUVRIR UNE NOUVELLE SORTE D'ARBRE. 
 "" L'ARBRE PAON ""  SON NOM EST DU A LA RESSEMBLANCE DU PAON, CE MERVEILLEUX VOLATILE QUI DEPLOIE SES TRES BELLES PLUMES AVEC SES YEUX QUI SE DISSIMULENT DANS LES[...]",https://www.artmajeur.com/blaise-lavenex/en/artworks/17851381/l-arbre-paon,downloaded_images/17851381_l-arbre-paon-pr-artmajeur.jpg
Enfant En Colère,Koen Vlerick,25.0,"['peace', 'love']",,Outsider Art,"ENFANT EN COLÈRE

                
                    About this artwork: Classification, Techniques & Styles
                      Outsider Art      Invented by Jean Dubuffet (1901-1985) in 1945, the idea is to create[...]",https://www.artmajeur.com/koen-vlerick/en/artworks/17901214/enfant-en-colere,downloaded_images/17901214_enfant-en-colere.jpg
Muze In De Amstel -Diptiek,Gabriela Espinoza Vázquez -Gevst,648.94,"['spiritual', 'landscape', 'couple', 'drawing', 'Amstel', 'water', 'Nederland', 'gevst']",30x45 cm,gray,"The muse of the Amstel is the inspiring engine not only of this work, but also for all those who live on its shores. I use to live there, in one of those villages and this river spoke to me. 
It is a two piece work. 30x45 cm (x2) male and female; a young couple that represents the people, its strength and fertility. 
 
Digital image[...]",https://www.artmajeur.com/gabriela-espinoza-vazquez-gevst/en/artworks/17214007/muze-in-de-amstel-diptiek,downloaded_images/17214007_muze-in-de-amstel-diptiek-copy.jpg
Yellow Blossom,Soliaski,25.0,[],,Abstract,"Plongez dans un univers positif et ensoleillé

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts   [...]",https://www.artmajeur.com/soliaski/en/artworks/17421943/yellow-blossom,downloaded_images/17421943_f8da9359-d237-4a96-9f19-75212bf33ae3.jpg
A8,Bruno Deforge,72.0,[],,,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/bruno-deforge/en/artworks/17922820/a8,downloaded_images/17922820_downloadedimage-20-202024-05-19t164545-562-enhanced.jpg
Sky Sardine,Nana Nimbus,37.0,"['sardine', 'fantasía', 'tapas', 'cocina', 'comida', 'food', 'sardina', 'lettering']",,Illustration,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/nana-nimbus/en/artworks/16981043/sky-sardine,downloaded_images/16981043_la-llauna-de-sardines.jpg
Lotus I,Michael Hitschold,757.45,"['lotus', 'grafik', 'foto', 'skulptur', 'abstrakte kunst', 'kunst kaufen deutschland', 'künstler deutschland', 'metallskulpturen', 'michael hitschold']",50x50 cm,Abstract,"Dieses Bild mit dem Titel LOTUS I ist eine digital erstellte Grafik aus fotografierten Segmenten meiner Skulpturen – gedruckt in Deutschland auf hochwertigem Hahnemühle Photo Rag 308. 
 
Limitierte Auflage (Nr. 1/10) 
 
Bitte beachten Sie für dieses Objekt eine Lieferzeit innerhalb von 3 Wochen.",https://www.artmajeur.com/michael-hitschold/en/artworks/17415943/lotus-i,downloaded_images/17415943_lotus-1-500x500-am.jpg
"""Washing Machine No 02”",Morten Klementsen,299.36,"['WASHING MACHINE', 'washing', 'machine', 'new lease on life', 'lease', 'plausible', 'use', 'hidden', 'laundry', 'cellars', 'bathrooms', 'time', 'explore', 'potential', 'settings', 'Sustainable', 'reuse', 'newuse', 'hand washing', 'celebrated']",,Outsider Art,"""WASHING MACHINE No 02”.  It's time to give the good old washing machine a new lease on life! As an artist, I'm creating a series of digital art showcasing new and plausible uses for this marvellous machine. These beautiful machines are usually hidden away in laundry cellars or bathrooms, but it's time to bring them out and explore[...]",https://www.artmajeur.com/morten-klementsen/en/artworks/17799205/washing-machine-no-02,downloaded_images/17799205_washing-machine-02.jpg
Temptation Ab0106,Tsomi,82.0,"['abstract', 'art', 'painting', 'collector', 'printing', 'fine art', 'temptation', 'choice', 'emotions']",,Abstract,"""Temptation"" is a digital abstract painting created in 2023 by the visionary artist Tsomi. Through an extraordinary perspective on ordinary life things and a profound exploration of visions and emotions, Tsomi presents a thought-provoking artwork that delves into the theme of temptation and the complex consequences of our choices.",https://www.artmajeur.com/tsomi/en/artworks/16881727/temptation-ab0106,downloaded_images/16881727_ab01-06-temptation-tsomi-flf.jpg
2727,Jean Jacques Apertet,37.0,[],,Abstract,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/apertetjj/en/artworks/17649502/2727,downloaded_images/17649502_2727.jpg
Круги,Evgenii Kuleshov,25.0,"['круг', 'колористика', 'геометрия', 'пространство', 'тени', 'красочный']",,Geometric,"Круги - это картина безупречности, сжатая в отдельно взятый фрагмент.  
Цвет, формы, расположение теней, -  все элементы в этой картине максимально сбалансированы.

                
                    About this artwork: Classification, Techniques & Styles
                [...]",https://www.artmajeur.com/evgenij-kuleshov/en/artworks/16999741/krugi,downloaded_images/16999741_krugi.jpg
Graphic#42,Exors,77.0,"['DIGITAL PAINT', 'COLORI', 'ARTE DIGITALE', 'COLOR PAINT', 'SPIRALI COLORATE']",,Abstract,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/exors/en/artworks/17837812/graphic-42,downloaded_images/17837812_graphic-42.jpg
Chasing Ephemeral Elegance,Jaxon Langley,72.0,"['Psychedelic', 'art for sale', 'digital painting', 'Fantasy', 'Beauty', 'Modern Architecture', 'Elegance', 'Pursuit', 'Kaleidoscopic', 'Surreal', 'Harmonious', 'Contemporary', 'Vibrant', 'Abstract', 'Intricate', 'Ethereal', 'happy', 'wall art']",,Surrealism,"In this mesmerizing digital masterpiece, 'Chasing Ephemeral Elegance,' vibrant psychedelic hues swirl around fantastical shapes as beauty pursues a lone figure through the kaleidoscopic maze. A harmonious dance unfolds, marrying the surreal allure of fantasy with the sleek lines of modern architecture, creating a visual symphony that transcends[...]",https://www.artmajeur.com/hippala-mahagedara-janaka-ilangarathna/en/artworks/17438908/chasing-ephemeral-elegance,downloaded_images/17438908_04-copy.jpg
Blue Hawk,Lady Birdsky,51.69,"['blue hawk', 'hawk', 'blue', 'life', 'encaustic art', 'beeswax', 'digital', 'love', 'birds']",,Abstract,"Blue hawk  
 Life and grow

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital[...]",https://www.artmajeur.com/lady-birdsky/en/artworks/17938603/blue-hawk,downloaded_images/17938603_20231102-164548.jpg
Joconde 4,Pipou,52.0,"['joconde', 'pop art']",,Outsider Art,"About this artwork: Classification, Techniques & Styles
                      Outsider Art      Invented by Jean Dubuffet (1901-1985) in 1945, the idea is to create works with primitive[...]",https://www.artmajeur.com/pipou/en/artworks/17346775/joconde-4,downloaded_images/17346775_img-20231120-152336-01.jpg
Visage Énigmatique,Pierre Yves Vilgrain,42.0,"['abstraction', 'couleurs', 'pinceaux', 'cheveux', 'expressionnisme', 'Kandinsky', 'Mondrian', 'impressionnisme', 'art déco', 'artiste', 'pop art', 'art numérique', 'art nouveau', 'art contemporain', 'art abstrait', 'neige', 'vent', 'tempête', 'tempête de neige']",,Abstract,"Tempête dépeint avec intensité le portrait d'un homme face à une furieuse tempête de neige en montagne. Les jeux dramatiques d'ombres et de lumières soulignent la détermination de l'individu, ses cheveux tourbillonnant dans le vent glacial. La toile capte l'énergie tourmentée de la nature en hiver, offrant une réflexion saisissante[...]",https://www.artmajeur.com/pierre-yves-vilgrain/en/artworks/17488366/visage-enigmatique,downloaded_images/17488366_2e8ef782-2e13-40c8-9b13-218e69ff01fc.jpg
Samouraï Queen,Mélanie Braganti,26.0,"['IA', 'MIDJOURNEY', 'PHOTOGRAPHIE', 'SURREALISME', 'SAMOURAI', 'japon']",,Surrealism,"About this artwork: Classification, Techniques & Styles
                      Surrealism      Founded in 1923 by the writer André Breton, it will unite many artists like Salvador Dali[...]",https://www.artmajeur.com/braganti-melanie/en/artworks/17167006/samourai-queen,downloaded_images/17167006_6.jpg
Abstract N-137,Luis Valente,32.0,[],,,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/luis-valente/en/artworks/17724064/abstract-n-137,downloaded_images/17724064_343523444222.jpg
Infinite Pages Of Existence,Kelly Johanna Martínez Peña,25.0,"['Biblioteca', 'Vida', 'Libros', 'Sueños', 'Arquitectura']",,Spiritual Art,"La biblioteca, una obra maestra laberíntica, teje pasillos que se desvanecen en la infinitud, donde los susurros de incontables vidas resuenan a través de los corredores. Un santuario donde uno puede deambular entre historias, un tapiz viviente de nuestra historia compartida y nuestros sueños.",https://www.artmajeur.com/kelly-johanna-martinez-pena/en/artworks/17250433/infinite-pages-of-existence,downloaded_images/17250433_replicate-prediction-2sl5kvrb2iabgra3kuwjhh4xne.jpg
De Stael,Hans-Dieter Pfundtner,32.0,"['fiktiv', 'Stadtansicht', 'Phantasie', 'Illusion', 'Imagination']",,Abstract,"Ausgehend von einem Werk de Staels, das abstrahierte Gebäude zeigt, habe ich Ergänzungen vorgenommen, die den Anblick einer fiktiven Stadtsilhouette suggeriert.

                
                    About this artwork: Classification, Techniques & Styles
                [...]",https://www.artmajeur.com/hans-dieter-pfundtner/en/artworks/17724229/de-stael-nicolas-hommage,downloaded_images/17724229_de-stael-nicolas-hommage-2023.jpg
2024_Abstract 21,Art Moé,63.66,"['bunt', 'abstrakt']",,Abstract,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/artmoe/en/artworks/17904880/2024-abstract-21,downloaded_images/17904880_instasize-240508221042.jpg
La Révolte Du Mouton,Redanovitch,25.0,"['animal', 'coloré', 'mouton', 'abstrait', 'pop art', 'stret art']",,Pop Art,"Dans cette toile remarquable, baptisée ""La Révolte du Mouton"", transparaît avec audace une dénonciation de l'étau social et de la conformité que la société s'acharne à imposer.  
 
L'auteur forge une scène captivante où un mouton, emblème de docilité, s'insurge contre les attentes et les normes qui le contraignent.[...]",https://www.artmajeur.com/redanovitch/en/artworks/17388121/la-revolte-du-mouton,downloaded_images/17388121_e412d7aa-1f65-4120-bc1f-32475a6c0bc8-3.jpg
Odyssey Astronaut,Ivana Ng,167.0,[],,,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/ivana-ng/en/artworks/17949976/odyssey-astronaut,downloaded_images/17949976_pd079c.jpg
Persomainlité,Marevann,82.0,[],,Figurative,"About this artwork: Classification, Techniques & Styles
                      Figurative      Figurative and colorful painting having taken the liberty of including all forms of art[...]",https://www.artmajeur.com/marevann/en/artworks/17470966/persomainlite,downloaded_images/17470966_img-3542.jpg
Calm Sea,Anna Sowinska,25.0,"['tramonto', 'mare', 'natura', 'calma', 'serenità']",,Conceptual Art,"Immagine del tramonto sul mare calmo di Puerto Madryn Argentina

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts   [...]",https://www.artmajeur.com/artsowinska/en/artworks/17359024/calm-sea,downloaded_images/17359024_dsc3527-copia.jpg
Pousse-Temps,Henri Eisenberg,52.0,"['Temps', 'Sablier', 'Ponton', 'Homme qui pousse', 'Mer']",,Surrealism,"Le sablier, symbole facile du temps, dont on voudrait tantôt qu'il dure et tantôt qu'il s'arrête ; le temps, parfois notre ennemi et parfois notre ami...  Si l'on pense à son étranglement, qu'un grain de sable bien calibré ne saurait pas obstruer, si l'on pense à la disproportionnalité- loi universelle à mon gré- entre[...]",https://www.artmajeur.com/henri-eisenberg/en/artworks/17536627/pousse-temps,downloaded_images/17536627_pousse-temps.jpg
L'escalier,Gilles Corona,25.0,"['immeuble', 'entrée', 'hall', 'ancien', 'vieux', 'retro', 'vintage', 'désolation', 'insalubre', 'triste', 'sale', 'dégradé', 'hyperréalisme', '3d']",,Hyperrealism,"Cette image a été créé à partir d'une vieille photo, on peut y voir un rez de chaussée d'un immeuble ancien dégradé.

                
                    About this artwork: Classification, Techniques & Styles
                      Hyperrealism     [...]",https://www.artmajeur.com/corona-gilles/en/artworks/17631511/l-escalier,downloaded_images/17631511_escalier-delabre-berger02.jpg
Observadores,Natalicio Borges Jr,,"['observadores', 'natalicioborgesjr', 'artedigital', 'google', 'artmajeur']",,Conceptual Art,"Obra de Natalício Borges Jr, trata do quanto somos observados, o quanto a nossa vida social é invadida...

                
                    About this artwork: Classification, Techniques & Styles",https://www.artmajeur.com/natalicio-borges-jr/en/artworks/17888728/observadores,downloaded_images/17888728_observadores.jpg
Kft 13524-3A,Vincent Guilbault,52.0,[],,Abstract,"Gesso, encre acrylique, pastels solubles sur papier kraft de récupération. 
Oeuvre de petite taille scanner en mode photo à très haute résolution avec une simple retouche colorimétrique.

                
                    About this artwork: Classification, Techniques & Styles[...]",https://www.artmajeur.com/vincent-guilbault/en/artworks/17417302/kft-13524-3a,downloaded_images/17417302_scan13524-3a-8192x8192.jpg
Melody,Melody,39.17,"['woman', 'dark atmosphere', 'digital painting', 'blonde woman', 'feminism', 'kadin', 'kadin figur', 'resim baski', 'print', 'photograpy', 'art', 'resim']",,Surrealism,"About this artwork: Classification, Techniques & Styles
                      Surrealism      Founded in 1923 by the writer André Breton, it will unite many artists like Salvador Dali[...]",https://www.artmajeur.com/melody/en/artworks/17779630/melody-free-spirit-digital-painting-on-photography-2024,downloaded_images/17779630_3f52fa3b-ca50-4e2e-9352-a9726292acfa.jpg
Quo Lines #2 (Version Colors),Hughes Matteau,225.73,[],48.3x33 cm,Abstract,"PRINT 13/19"" SUR PAPIER EPSUM ULTRA PREMIUM, SÉRIE QUO LINES DESSSIN/PEINTURE MODIFIER NUMÉRIQUEMENT

                
                    About this artwork: Classification, Techniques & Styles
                      Watercolor     [...]",https://www.artmajeur.com/hughes-matteau/en/artworks/17952265/quo-lines-2-version-colors,downloaded_images/17952265_quo-lines-1-black-and-white-version-7-colors-13x19.jpg
Le Noir By Delac Ii,Artynkom,,[],,,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/artynkom/en/artworks/17731543/le-noir-by-delac-ii,downloaded_images/17731543_img-20240327-232624.jpg
Monochrome Square Landscape With Tree In,Ainaliora,25.0,"['fog', 'foggy', 'blurry', 'landscape', 'black and white', 'monochrome', 'vintage', 'grunge', 'forest']",,Figurative,"Силуэт дерева на фоне туманного равнинного пейзажа. Загадочная зыбкая атмосфера. Винтажное фото.

                
                    About this artwork: Classification, Techniques & Styles
                      Figurative     [...]",https://www.artmajeur.com/ainaliora/en/artworks/17920375/monochrome-square-landscape-with-tree-in-fog,downloaded_images/17920375_foggy-8.jpg
Best Seat In The House - 1888,Kerry Pritchard,29.0,"['bathroom decor', 'print for bathroom', 'bathroom art', 'best seat in the house', 'best seat in the house print', 'best seat in the house art', 'vintage altered art', 'neon altered vintage', 'vintage painting for bathroom', 'funny bathroom art', 'toilet poster', 'toilet posters', 'red neon altered art', 'neon graffiti', 'vintage painting altered', 'trendy wall art', 'trendy decor for bathroom', 'bathroom posters', 'best seat painting', 'best seat art']",,Expressionism,"For this design I have incorporated a lovely vintage painting, ‘Maidens in a Pompeian Bath 1888 by Luigi Mussini’ with modern text to give a trendy eclectic feel to this aesthetic print. Please note that the original vintage painting retains its original imperfections for the overall aesthetic authentic look and feel of the vintage painting. (Close[...]",https://www.artmajeur.com/kerry-pritchard/en/artworks/17937985/best-seat-in-the-house-1888,downloaded_images/17937985_img-2961.jpg
1/1 Pulsar,Swedy,530.16,"['cosmos', 'astronome', 'Océan', 'relais', 'navette spatiale']",,Tribal Art,"A des millions d'années lumières de la terre, des étoiles à neutrons émettent des signaux lumineux à intervalles réguliers et de durée à peu près fixe, sur la planète. 
Un faisceau lumineux éclaire la mer où rôde un requin marteau. 
 
Brosse numérique

                [...]",https://www.artmajeur.com/swedy/en/artworks/17940253/1-1-pulsar,downloaded_images/17940253_1000003737.jpg
Dreams 2 - Canvas Print,Ekaterina Larina,585.55,"['retro stile', 'print on canvas', 'larche size', 'roses']",130x100 cm,Figurative,"Digital art, extra large Giclée print on canvas 
One of a kind artwork 
Size: 100 × 130 × 3 cm (unframed) 
This artwork is sold unframed 
 
Hahnemühle Art Canvas Smooth 
Hahnemühle, 370 г/м², Germany 
Hahnemuhle Protective Spray 
 
The artwork is titled and signed on the front and also comes with a certificate[...]",https://www.artmajeur.com/ekaterina-larina/en/artworks/17623171/dreams-2-canvas-print,downloaded_images/17623171_immaculate-starfish-77526-7ce15a35-d7bf-4865-a2d7-5d51ab774985.jpg
Mind Of A Overthinker,Filippo Superchi,42.0,"['aesthetic', 'figurative', 'concept art', 'surreal', 'woman', 'beautiful', 'colourful']",,Figurative,"Opera digitale in stile figurativo che esprime tramite i colori e le forme la bellezza della ragazza ritratta nel mezzo di una riflessione che dura sempre più del previsto

                
                    About this artwork: Classification, Techniques & Styles",https://www.artmajeur.com/filippo-superchi/en/artworks/17724136/mind-of-a-overthinker,downloaded_images/17724136_1000043276.jpg
Uptown,Samael,100.77,"['abstract', 'cityscape', 'black', 'white', 'warm']",,Abstract,"The title should be self-explantory...

                
                    About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital[...]",https://www.artmajeur.com/samael-9606931/en/artworks/17761570/uptown,downloaded_images/17761570_uptown.jpg
Deux Poids,Isabelle Cussat (Artassuc),859.52,[],50x50 cm,Symbolism,"About this artwork: Classification, Techniques & Styles
                      Photo Montage       Assembly of photographs obtained by printing, or by means of software, giving a photo[...]",https://www.artmajeur.com/artassuc/en/artworks/17017768/deux-poids-deux-mesures,downloaded_images/17017768_deux-poids-deux-mesures.jpg
Sitting Man,Arnaud Druot,67.0,"['basquiat', 'neo-expressionisme']",,Street Art,"Inspirée par le style underground de Basquiat, cette œuvre digitale très graphique et stylisée va faire irruption dans votre salon ou votre chambre pour vous raconter une histoire : celle d'un homme d'affaires qui vient de perdre son emploi, qui est là assis, réfléchissant sur sa vie. Bien qu'il s'agisse d'une œuvre digitale,[...]",https://www.artmajeur.com/arnaud-druot/en/artworks/17710300/sitting-man,downloaded_images/17710300_l2m4jhtbw5by3cvvz56f54fk2y-1-2-1.jpg
Ladys Night,Folker Reinhold Peter Pritsch,326.62,[],58x39 cm,,"Bruchstücke eines Straßenplakates wurden in dieser Collage mit Rudimenten aus Schriftzeichen von Plakaten zu einer neuen Komposition verbunden. 
Inspiration war hier, die auffallend schöne Frau auf dem Plakat.

                
                    About this artwork: Classification, Techniques[...]",https://www.artmajeur.com/folker-reinhold-peter-pritsch/en/artworks/17908684/ladys-night,downloaded_images/17908684_ladies-night.jpg
Nabû,Edith Donc,160.09,"['croquis', 'numérique', 'chat']",21x29 cm,Outsider Art,"Un croc numérique d'un de mes chats.

                
                    About this artwork: Classification, Techniques & Styles
                      Digital Painting      Technique carried out using digital tools[...]",https://www.artmajeur.com/edith-donc/en/artworks/17924815/nabu,downloaded_images/17924815_sketchnabu.jpg
Modèle,Laszlo De Somogyi,1686.81,[],130x130 cm,,"About this artwork: Classification, Techniques & Styles
                      Acrylic       Paint using traditional pigments mixed with synthetic resins. [...]",https://www.artmajeur.com/laszlo-de-somogyi/en/artworks/17288278/modele,downloaded_images/17288278_img-1749.jpg
Venice Canals - Watercolor Painting Medi,Kate Matveeva,57.0,"['venice', 'italy', 'canals', 'water', 'green', 'red', 'orange', 'badroom art', 'bathroom art', 'office cafe', 'gift for her', 'gift for him', 'buildings', 'sun']",,Figurative,"About this artwork: Classification, Techniques & Styles
                      Figurative      Figurative and colorful painting having taken the liberty of including all forms of art[...]",https://www.artmajeur.com/kate-matveeva/en/artworks/17436301/venice-canals-watercolor-painting-medium-size,downloaded_images/17436301_img-2375.jpg
Latence,Sylvie Dessert (Syl),28.0,"['entrelacs', 'bleu', 'orange']",,Abstract,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/sylvie-dessert-syl/en/artworks/17507821/latence,downloaded_images/17507821_k-463-latence-60x60-30-am.jpg
#2 - At The Window,Eric Lespinasse,1590.11,[],50x70 cm,Minimalism,"Œuvre issue de la série ""At the window"" 2023. 
 
Impression sans marge blanche sur Papier argentique Fuji DPI Gloss 250mg, contrecollage sur Aluminium Dibond de 3 mm et finition Plexiglas brillant de 2 mm (le standard des galeries), y compris système d’accrochage adapté au format d’impression, composé d'un châssis en aluminium[...]",https://www.artmajeur.com/eric-lespinasse-9501264/en/artworks/16906726/2-at-the-window,downloaded_images/16906726_2-at-the-window-3x.jpg
Faces V,Sofialain,122.0,[],,,"About this artwork: Classification, Techniques & Styles
                                                                     Technic Digital Arts     Digital art refers to a diverse set of[...]",https://www.artmajeur.com/sofialain/en/artworks/17952877/faces-v,downloaded_images/17952877_captura-de-pantalla-2024-06-13-130255.jpg
Doubts - Chemin De Vie,Mathias Cottalorda,25.0,"['homme', 'folie', 'doute', 'technologie', 'temps', 'surréalisme', 'peinture']",,Surrealism,"Doubts - Chemin de vie  
 
Peinture d'un homme se demandant comment vivre sa vie. Submergé de questions, de doutes, de pollutions technologiques l'ayant éloigné de l'essentiel. Dérive spirituelle, tourments intellectuelle.

                
                    About this artwork:[...]",https://www.artmajeur.com/mathias-cottalorda/en/artworks/17655061/doubts-chemin-de-vie,downloaded_images/17655061_odad17-the-painting-of-dalis-frank-marx-in-the-style-of-high-dy-0393654a-d86d-4773-94ab-658ac6930aba.jpg
Black,Giorgio Gerardi,830.51,"['colors', 'shapes']",75x100 cm,Abstract,"The image, produced using Firefly artificial intelligence, is part of the “Black, Red, Yellow” series from the “Colors and Shapes” project. 
I think that AI has a positive impact, especially for the new creative horizons that it opens up. Using digital resources to create contemporary art through AI offers new opportunities for creative exploration,[...]",https://www.artmajeur.com/giorgio-gerardi/en/artworks/17908348/black-red-yellow-46493,downloaded_images/17908348_black-red-yellow-46439.jpg
Виктория,Elias Kalinin,42.0,"['экспрессионизм', 'драма', 'готический']",,Illustration,"Иллюстрация это дань уважения моему другу, которая поддерживала меня в сложные моменты. Работа является и портретом и иллюстрацией. Я хотел показать нежное утешение персонажа на переднем плане, гнев которого словно шипы прорвались сквозь плоть.

                
                    About this artwork:[...]",https://www.artmajeur.com/elias-kalinin/en/artworks/17827606/viktoria,downloaded_images/17827606_victoria.jpg
Paranoia,Michele Iannizzotto,,[],,Pop Art,"About this artwork: Classification, Techniques & Styles
                      3D Modeling      Technique which consists in creating, in 3D modeling software, a three-dimensional object,[...]",https://www.artmajeur.com/michele-iannizzotto/en/artworks/17750650/paranoia,downloaded_images/17750650_ballpose2-render5.jpg
Marine De Nice,Jean Paul Pierozzi,1853.34,[],90x120 cm,,"About this artwork: Classification, Techniques & Styles
                      Digital Painting      Technique carried out using digital tools using a computer, a graphic tablet, a stylus[...]",https://www.artmajeur.com/jean-paul-pierozzi/en/artworks/17860600/marine-de-nice,downloaded_images/17860600_marine-de-nice-120x90.jpg
Beautiful,H.K.R. Braun,5731.92,[],100x100 cm,Outsider Art,"About this artwork: Classification, Techniques & Styles
                      AI generated image       AI generated images are computer-generated images that aim to replicate the[...]",https://www.artmajeur.com/freespace/en/artworks/16949173/beautiful,downloaded_images/16949173_78150432.jpg
Metropolitan Flair,Maximilian Schopf (Vespamax),23.5,"['abstrakt', 'metropole', 'stadtbahn', 's-bahn', 'fahrzeug', 'alltag', 'stadtleben', 'bunt', 'acryl', 'KI', 'urban', 'regenschauer', 'nasse straßen']",,Abstract,"Entdecken Sie ""Metropolitan Flair"", ein fesselndes Acrylgemälde, das die pulsierende Dynamik des Stadtlebens einfängt. In diesem Kunstwerk verschmilzt das urbane Treiben mit kunstvoller Eleganz und bildet eine exquisite Hommage an die moderne Metropole. 
 
Vom ersten Blick an zieht ""Metropolitan Flair"" den Betrachter in[...]",https://www.artmajeur.com/maximilian-schopf-vespamax/en/artworks/17714449/metropolitan-flair,downloaded_images/17714449_acryl-painting-metropolitan-flair-1-1.jpg
