Title,Artist,Price,Description,Dimensions,Style,Link,Image Path
Selfportrait,Dato Captures,,"Art has long been hailed as a powerful tool for self-expression, allowing us to communicate our thoughts, emotions, and ideas in unique and captivating ways. It serves as a visual language that transcends boundaries, cultures, and societal norms, enabling artists to convey their innermost thoughts and experiences to the world.","Height 31.75cm, Width 44.45cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/prGdTftks46EkhHsr
",downloaded_images/prGdTftks46EkhHsr_pic1024.jpeg
Focus,Tamara Mazan,$1000,"Here we are. When i started this picture i had everything in my life. Its not half done. Its done. And when i finished i lost my best friend, he died, i became a homeless and i lost my job. Its a damn fucked up art!","Height 169cm, Width 169cm",Pop art,"https://anasaea.com/viewArtPiece/TjwQ4RYtEZhE4XqKD
",downloaded_images/TjwQ4RYtEZhE4XqKD_pic1024.jpeg
Halftone Party Girls. Aria,Ana Mangot,E AVAILABLE ON REQUEST,Halftone Party Girls. Aria by Ana Mangot,,Pop art,"https://anasaea.com/viewArtPiece/6zJwsFgHLHY2FBMtY
",downloaded_images/6zJwsFgHLHY2FBMtY_pic1024.jpeg
Hippo Underwater,Shari Blackwell,$60,"digital art, watermark will be removed upon purchase, Hippo Underwater",,Modern art,"https://anasaea.com/viewArtPiece/n7ghW9cLXjYrtNMLG
",downloaded_images/n7ghW9cLXjYrtNMLG_pic1024.jpeg
Diamonds and Leather II,Tia Maze,,Diamonds and Leather II by Tia Maze,,,"https://anasaea.com/viewArtPiece/YWJATooLnQFibPnm4
",downloaded_images/YWJATooLnQFibPnm4_pic1024.jpeg
Not found,, TO HOME,Page is not found,,,"https://anasaea.com/viewArtPiece/rv6QvWJaKLzNugHHz
",
Birds 3,Rubtov Gabriela,$500,Birds 3 by Rubtov Gabriela,"Height 50cm, Width 50cm",Color field,"https://anasaea.com/viewArtPiece/FyyDRiQ7eTtjYDLN9
",downloaded_images/FyyDRiQ7eTtjYDLN9_pic1024.jpeg
My old bedroom,Alison Gutierrez,$1924,"""My Old Bedroom"" is an artwork by Alison Gutiérrez. Inspired by the bedroom that used to be hers in the old family apartment they used to live in.","Height 7200cm, Width 5400cm",,"https://anasaea.com/viewArtPiece/iiz6HPXEkWKsi8D3H
",downloaded_images/iiz6HPXEkWKsi8D3H_pic1024.jpeg
SHARON.C@MIDOTI.ART GALLERY,SHARON CHEUNG,,SHARON.C@MIDOTI.ART GALLERY,"Height 200cm, Width 200cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/C8ERL8NAePZye4rsb
",downloaded_images/C8ERL8NAePZye4rsb_pic1024.jpeg
Deathbirth,Oliver Kieser,$100,Deathbirth,"Height 42.33cm, Width 42.33cm",Surrealism,"https://anasaea.com/viewArtPiece/QmqkZz3nGFAE9p3iK
",downloaded_images/QmqkZz3nGFAE9p3iK_pic1024.jpeg
The Hat with the Thoughts,Mia Mai,,"'The Hat with the Thoughts' artwork, the inaugural piece of the eponymous series, symbolizes Mia Mai's liquid thoughts. Through these, the artist is going to explore with the entire series the human identity in the search to better understand human feelings and emotions.
The choice of white color for the hat, symbolizing purity, acts as a blank canvas upon which Mia begins to 'write' and 'sketch' what she deems essential for her exploration. The dripping white represent Mia's evolving thoughts.

A digital artwork, originally AI-generated by Mia Mai, a fictional identity created by the multidisciplinary artist Kristina Nikolova.

To explore the significance of ‘The Hat with Thoughts’ series more deeply, you are welcome to visit the ‘Portfolio’ section on www.miamai.it

NOTE: The limited edition is currently not for sale as it is part of an ongoing project by Kristina Nikolova. ","Height 30cm, Width 30cm",Contemporary art,"https://anasaea.com/viewArtPiece/HSTvyTYzCvEtEoFwo
",downloaded_images/HSTvyTYzCvEtEoFwo_pic1024.jpeg
Silhueta RGBAliud & Kandinsky08,Harry Mahler,$1000,"Uma das primeiras obras usando o conceito de ""Arte Virtual Fusionada"" é uma forma inovadora de colaboração artística na qual artistas de diferentes disciplinas se unem para criar obras de arte virtuais que são posteriormente ""desvirtualizadas"" e trazidas para o mundo físico por meio de técnicas de artes plásticas. Esse processo envolve uma fusão criativa de habilidades digitais e tradicionais, resultando em uma experiência artística única que transcende os limites do mundo virtual e físico.

Uma homenagem a um dos artistas que me inspiraram a criar o RGBAliud, onde tento criar fusão de minha arte autoral com a de Wassily Wassilyevich Kandinsky

Foram utilizadas um mix de ferramentas digitais softwares de edição de imagem ""Krita, photoscapeX e IAs.

Método de desvirtualização: Pintura Acrílica sobre tela ","Height 100cm, Width 100cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/DzfNgtc3RgnxS9o7E
",downloaded_images/DzfNgtc3RgnxS9o7E_pic1024.jpeg
Nerola Phlox,Harleena Designs,$800,Nerola Phlox  by Harleena Designs ,,Abstract expressionism,"https://anasaea.com/viewArtPiece/etEDvNCvhRPCowcC2
",downloaded_images/etEDvNCvhRPCowcC2_pic1024.jpeg
Colored beads,Mihaela B,$35,Colored beads  by Mihaela  B,,Art Deco,"https://anasaea.com/viewArtPiece/GvCiiDQE5HPdveB2J
",downloaded_images/GvCiiDQE5HPdveB2J_pic1024.jpeg
Through the junk something grow,Dražen Jerković,,"Junk is junk, life is life","Height 50cm, Width 65cm",,"https://anasaea.com/viewArtPiece/h669TuEHnCGnthSPu
",downloaded_images/h669TuEHnCGnthSPu_pic1024.jpeg
Gamer Couple,Raquel Correia,$5,Gamer Couple by Raquel Correia,"Height 640cm, Width 640cm",Minimalism,"https://anasaea.com/viewArtPiece/8MjZADpkzCBzN2cq9
",downloaded_images/8MjZADpkzCBzN2cq9_pic1024.jpeg
Inka model,Mihaela B,$35,Digital art.,,Abstract expressionism,"https://anasaea.com/viewArtPiece/5xxSi9NFuxA9DfK65
",downloaded_images/5xxSi9NFuxA9DfK65_pic1024.jpeg
Freedom,Shari Blackwell,$100,"Digital Art, Native American Indian, Freedom",,Modern art,"https://anasaea.com/viewArtPiece/EjbiHpz5dvniuPoiA
",downloaded_images/EjbiHpz5dvniuPoiA_pic1024.jpeg
The guardia,Mika Kersten,$40,A female cyborg is the guardian of a little girl.,"Height 9.14cm, Width 11.43cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/e5xF52Fe4t7Pvseh2
",downloaded_images/e5xF52Fe4t7Pvseh2_pic1024.jpeg
Arca de contención nuclear.,Kyber koacervado,$25000,"Arca de contención nuclear.

Dispositivo de contención y procesamiento de desechos nucleares, los niveles radiactivos son impresionantemente bajos debido a estructuras autosimilares a un arrecife de coral, similar en forma, pero es un organismo diferente, es capaz de consumir y degradar una amplia gama de contaminantes radiactivos. Quizás la biotecnología avanzada que dejaron aquí sus constructores, autosimilar en función a los biorremediadores encontrados hace iteraciones.



Detalles de la obra de arte:

Arca de contención nuclear, por koacervado 27 de agosto de 2023.

Imagen fotorrealista generada por computadora.

Representación 3D generada a partir de la iteración booleana de varias fórmulas de geometría fractal.

Tamaño original: 7000px x 7000px, 49 megapíxeles (Mpx)

Tiempo de renderizado 19 horas 50 minutos y 25 segundos.

Temperatura máxima del sistema: 70°C. CPU de 4,45 GHz, GPU de 1320 MHz


 EL PRECIO ESTA EXPRESADO EN PESOS MEXICANOS","Height 76cm, Width 76cm",Futurism,"https://anasaea.com/viewArtPiece/SgBe3fS6sQRfQdF7K
",downloaded_images/SgBe3fS6sQRfQdF7K_pic1024.jpeg
Bakış,Şevin Kupik,$500,dijital art deformation,"Height 75cm, Width 50cm",Art Nouveau,"https://anasaea.com/viewArtPiece/nnLhBJjm7gzNJ9h7G
",downloaded_images/nnLhBJjm7gzNJ9h7G_pic1024.jpeg
backup Screenshot 2023 02 22 101241 mirror,António Saraiva,$250,seafront,,Expressionism,"https://anasaea.com/viewArtPiece/aFNJaD3JeLra5vA2Q
",downloaded_images/aFNJaD3JeLra5vA2Q_pic1024.jpeg
RED ROOM VI,Matt Almeida,,"REPORT FILE 401 | 2024.02.21

Assistants had to be removed from Project GESTALT – severe cases of violent delirium observed. Families notified of their expiration. 

Subject YONA somehow alive despite severe blood loss. Room is scheduled to be cleaned during this afternoon. 

Videos recorded by the assistants have been successfully recovered and all traces eliminated. However, it is rumored that some material survived and is being circulated among the inner lab circle, but that has yet to be proven. 

Furthermore, professor PERL ordered restrictions of personnel allowed to visit the subject and told those who are aware of what transpired to state: „Nothing happened.“ ",,,"https://anasaea.com/viewArtPiece/fqr6DSeWwY78LSuYy
",downloaded_images/fqr6DSeWwY78LSuYy_pic1024.jpeg
PortrAIt No.14 (2021),Ana Mangot,E AVAILABLE ON REQUEST,PortrAIt No.14 (2021) by Ana Mangot,,Contemporary art,"https://anasaea.com/viewArtPiece/rFaw82BBaQWbA8PtG
",downloaded_images/rFaw82BBaQWbA8PtG_pic1024.jpeg
Ａｒｉｓｅ,Fausto Chinelato,,"""The Desire for Vengence"".",,Gothic art,"https://anasaea.com/viewArtPiece/hjJtqrhQfqMnHguH9
",downloaded_images/hjJtqrhQfqMnHguH9_pic1024.jpeg
STONE DISEASE VI,Matt Almeida,,"REPORT FILE 823 | 2024.03.08

Patient YONA has been quiet and withdrawn since the events from REPORT FILE 592. Professor PERL decided to conduct several examinations of the subject, but all of them were inconclusive. 

No emotional reaction. 
No apparent need for food or liquids.
No documented bodily needs either.
Grey spread of color in both eyes – referred to by PERL as Stone Disease.

UPDATE 2024.03.30: Subject expired. No movement possible. 
GESTALT proved nonetheless successful. ",,,"https://anasaea.com/viewArtPiece/rEHnw9wj6YPCf6bRx
",downloaded_images/rEHnw9wj6YPCf6bRx_pic1024.jpeg
SLOB,Zakk Merullo,$15,Art of a slobbish man with an almost phallic tongue. Isn’t he such a slob?,,Abstract expressionism,"https://anasaea.com/viewArtPiece/KyFQXaSfCNmJKaLTn
",downloaded_images/KyFQXaSfCNmJKaLTn_pic1024.jpeg
Lucinda Stargate Cosmosis,Alex Ruiz,,"Digital art 2021, Procreate and Photoshop, no AI.",,Metaphysical art,"https://anasaea.com/viewArtPiece/JeR6WK6sbBYBPovDL
",downloaded_images/JeR6WK6sbBYBPovDL_pic1024.jpeg
Lumii 20240411 223846801,Micól klar,$45,Lumii 20240411 223846801 by Micól klar,,,"https://anasaea.com/viewArtPiece/XBYCpvzwERizziNeF
",downloaded_images/XBYCpvzwERizziNeF_pic1024.jpeg
Psicodelico 3,Sandra Rojas,$10,Serie psicodelica,,Abstract expressionism,"https://anasaea.com/viewArtPiece/cJwEAuBkPWPL9maZP
",downloaded_images/cJwEAuBkPWPL9maZP_pic1024.jpeg
Fauna,Alfons Freire,$400,Fauna by Alfons Freire,"Height 120cm, Width 100cm",Surrealism,"https://anasaea.com/viewArtPiece/iHYf4Tpf2duvDyvP2
",downloaded_images/iHYf4Tpf2duvDyvP2_pic1024.jpeg
Green and Blue Celebration,Alana Makeda,,Green and Blue Celebration by Alana Makeda,,,"https://anasaea.com/viewArtPiece/GE2TWqacpTBgGBmXb
",downloaded_images/GE2TWqacpTBgGBmXb_pic1024.jpeg
Scream of demon,Dražen Jerković,,Scream of demon by Dražen Jerković,,,"https://anasaea.com/viewArtPiece/ydivR3kbsrXjZFavT
",downloaded_images/ydivR3kbsrXjZFavT_pic1024.jpeg
Solar System Breaking Point,Joaquim Vidal,$8500,Pure Conceptual digiatl Art,"Height 200cm, Width 200cm",Conceptual art,"https://anasaea.com/viewArtPiece/CzHhqitk76SRYRFC5
",downloaded_images/CzHhqitk76SRYRFC5_pic1024.jpeg
Sutres,Fabrizio Terzi,$370,Sutres by Fabrizio Terzi,"Height 100cm, Width 50cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/uBS4Sn2tgm5dNXJrh
",downloaded_images/uBS4Sn2tgm5dNXJrh_pic1024.jpeg
Stay Positive,Zinaida Kazantseva,,Stay Positive  by Zinaida Kazantseva,"Height 90cm, Width 90cm",Contemporary art,"https://anasaea.com/viewArtPiece/NwKAkzxZCT3YZHCyZ
",downloaded_images/NwKAkzxZCT3YZHCyZ_pic1024.jpeg
wilczek,Greta Różańska,$400,"A digital image, created in the process of many manipulations and experiments.","Height 54cm, Width 54cm",,"https://anasaea.com/viewArtPiece/scqkBuEmvNBxJjCxW
",downloaded_images/scqkBuEmvNBxJjCxW_pic1024.jpeg
HOW DEEP IS YOUR LOVE,CALLIE E AUSTIN,$7800,"This image depicts a stunning sunset sky with an array of vibrant colors. The dominant colors are blue and red, while the accent color is a deep shade of navy blue. In the foreground, there is a bright red background that fades into a purple hue in the distance. Further away clouds appear as if they were painted onto the canvas of sky - some white and others tinged with pink and purple hues. As we look further up towards the horizon line, we see more shades of blues and purples blending together to create an abstract pattern that looks like something out of a dreamscape. This breathtaking scene is truly captivating!","Height 182.88cm, Width 182.88cm",Modern art,"https://anasaea.com/viewArtPiece/o8kBPeqnywBpScm99
",downloaded_images/o8kBPeqnywBpScm99_pic1024.jpeg
"Headpieces For The Subconscious Minds, Orange",Gianfranco Fagotto,$400,"Through the use of hats, women were able to assert their individuality and subvert traditional notions of femininity. The relationship between fashion, hats, women, and Surrealism is consequently a fascinating and complex one. In this series of illustrations, I explored eight ideas for headpieces, incorporating dreamlike and bizarre elements, unconventional shapes, textures, and materials. All in all, adding to their surreal and otherworldly appearance.
by Gianfranco Fagotto B, 2023","Height 100cm, Width 70cm",Photorealism,"https://anasaea.com/viewArtPiece/y9ZexFdNR4HcjZhxZ
",downloaded_images/y9ZexFdNR4HcjZhxZ_pic1024.jpeg
i am a creep (art deco),Leeloo_mp / Masha B.,$195,"sorry, really nothing to say about....
(titel by Radiohead)","Height 45cm, Width 30cm",Surrealism,"https://anasaea.com/viewArtPiece/JLGR5L6Hd2edP5cHK
",downloaded_images/JLGR5L6Hd2edP5cHK_pic1024.jpeg
Trax,Shinee B.,$1200,Trax by Shinee B.,"Height 60.94cm, Width 91.44cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/eTEEWmg4Jsdaowqas
",downloaded_images/eTEEWmg4Jsdaowqas_pic1024.jpeg
Elegance amidst Hedonism,Leigh Witherell,$6920,"Sultry Nostalgia is a stunning digital artwork that captures the essence of vintage glamour and allure. The rich color palette of warm golden and brown tones creates a moody ambiance, while gentle light filters through a classic window, adding to the retro atmosphere. The woman in the painting is seated on a chaise lounge in an elegant pose, wearing a black lace lingerie ensemble that exudes sophistication and sexuality. Her vintage glamour hairstyle and meticulous makeup enhance her features with a subtle, sophisticated touch. The overall composition exudes an air of intimate sophistication and retro allure, making it a captivating piece that evokes a sense of sultry nostalgia.","Height 121.92cm, Width 121.92cm",Modern art,"https://anasaea.com/viewArtPiece/dehohSTcjogrjCR9v
",downloaded_images/dehohSTcjogrjCR9v_pic1024.jpeg
Antoinetta,ANGELO DI BENEDETTO,$350,Antoinetta by ANGELO DI BENEDETTO,"Height 40cm, Width 60cm",Contemporary art,"https://anasaea.com/viewArtPiece/ZTmgXM9cJbtxTSHvz
",downloaded_images/ZTmgXM9cJbtxTSHvz_pic1024.jpeg
Strength,L.A. Moor,$99873,"“I will harness resilience and fortitude on my journey.” 

“Strength” represents the resilience and fortitude that are often necessary on the journey of manifestation. This painting is a testament to the inner strength that carries you through challenges and propels you towards your dreams. It’s a reminder that you have the strength to overcome obstacles, to persist in the face of adversity, and to manifest your deepest desires. 

9 prints of this size, each comes with a numbered Certificate of Authenticity.

Mount border size:  top 0.9 inches; bottom 0.9 inches; 0.6 inches left; 0.6 inches right.

Each print comes with a choice of frame: Oak, Black, and White 

You may order directly from www.lamoorart.com","Height 70cm, Width 100cm",Post-Impressionism,"https://anasaea.com/viewArtPiece/q2gkXGCFk9F33HJNH
",downloaded_images/q2gkXGCFk9F33HJNH_pic1024.jpeg
LB 03 WEB,ATELIER 110,E AVAILABLE ON REQUEST,LB 03 WEB by ATELIER 110,,,"https://anasaea.com/viewArtPiece/68G7JqSjYrJSvYcLM
",downloaded_images/68G7JqSjYrJSvYcLM_pic1024.jpeg
Sandpaper Red. Shinjuku,Ana Mangot,E AVAILABLE ON REQUEST,Sandpaper Red. Shinjuku by Ana Mangot,,Japonisme,"https://anasaea.com/viewArtPiece/2Ej2bD6GKsz8DjiqX
",downloaded_images/2Ej2bD6GKsz8DjiqX_pic1024.jpeg
ARTIFACTS -ARCHEOLOGICAL SERIES,Marcelo Guimaraes Lima,$400,"Artifacts, Archeological Series, deals with the persistence of representations, created forms and  objects as visible and tangible artifacts of memory, of human time and creativity.","Height 50cm, Width 70cm",Contemporary art,"https://anasaea.com/viewArtPiece/BCfk74PZDaQNdhPXq
",downloaded_images/BCfk74PZDaQNdhPXq_pic1024.jpeg
01 ūnus Jīngjīng Crystal Rhapsody,Jingjing 晶晶,$200,01 ūnus Jīngjīng Crystal Rhapsody by Jingjing 晶晶,"Height 80cm, Width 80cm",Futurism,"https://anasaea.com/viewArtPiece/iWoZLzfGhcvxaQxaj
",downloaded_images/iWoZLzfGhcvxaQxaj_pic1024.jpeg
Green Isis,Silvia Borao Cuevas,$380,Green Isis by Silvia Borao Cuevas,,Aestheticism,"https://anasaea.com/viewArtPiece/qrLXXRCvehidXmJDT
",downloaded_images/qrLXXRCvehidXmJDT_pic1024.jpeg
screenshotgreatingcards - 06:06 10/10/45 [BLUR],illussion Eddie Puce-Paeglitis,$25000,Ask for details,,Primitivism,"https://anasaea.com/viewArtPiece/KpTdDH57rRo3FEjuf
",downloaded_images/KpTdDH57rRo3FEjuf_pic1024.jpeg
CHERRY,Karen Glykys,$350,"Smartphone Photography PhoneArt 
Limited edition of 75 

Giclee edition
 
Printed on Archival Innova Cotton rag Ink Jet Paper 

I have been pioneering PhoneArt since 2017. Now a recognised art form. 

Smartphone art is photographic Art photographed, manipulated and edited entirely on a mobile phone using free android apps only. 

The process is entirely experimental.","Height 84.1cm, Width 59.4cm",Contemporary art,"https://anasaea.com/viewArtPiece/3iEWXEadQQYfQf65k
",downloaded_images/3iEWXEadQQYfQf65k_pic1024.jpeg
love's train,Leeloo_mp / Masha B.,$225,(Titel by Bruno Mars),"Height 45cm, Width 30cm",Surrealism,"https://anasaea.com/viewArtPiece/oZKtf2ZKT7hNoWr3t
",downloaded_images/oZKtf2ZKT7hNoWr3t_pic1024.jpeg
All at Once - Striatum Series v2,Ray Vior,$299,"Inspired by mental awareness. This visual represents what goes on in the mind of a person with attention deficit hyperactivity disorder (ADHD). Individuals with ADHD thrive on constant stimulation and the rush of
engagement and have difficulty focusing on one task for a long time.",,Surrealism,"https://anasaea.com/viewArtPiece/239sn4TyoNJB6axmL
",downloaded_images/239sn4TyoNJB6axmL_pic1024.jpeg
"Young, pretty lady presents a cool house with her body",Mika Kersten,$222,"Young, pretty lady presents a cool house with her body, you don't see that every day either.","Height 9.14cm, Width 11.43cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/NJ5SFgQnLSiST3q7d
",downloaded_images/NJ5SFgQnLSiST3q7d_pic1024.jpeg
Rainbow,Nilza Reis,E AVAILABLE ON REQUEST,Rainbow  by Nilza Reis,,,"https://anasaea.com/viewArtPiece/mAkcH5pDf6u8oPKFZ
",downloaded_images/mAkcH5pDf6u8oPKFZ_pic1024.jpeg
AI Digital Humanoid,Stafford Jay,$160,Went from Drawing Template and Blended it with  Starryai AI app & This Original Beauty came Forth... !?! Thanks for Visiting...!!!,,Futurism,"https://anasaea.com/viewArtPiece/Hwmr8JkLJWpqnArm6
",downloaded_images/Hwmr8JkLJWpqnArm6_pic1024.jpeg
Feel me,Robert Neyt,,Feel me by Robert Neyt,"Height 40cm, Width 40cm",,"https://anasaea.com/viewArtPiece/szbTA2EHqRzbQxzgh
",downloaded_images/szbTA2EHqRzbQxzgh_pic1024.jpeg
Wonder,L.A. Moor,$99873,"“I am a beacon of wonder and fascination.” 

“Wonder” embodies the awe and fascination that accompany the manifestation process. This painting is a tribute to the magic of manifestation, the wonder of life’s synchronicities, and the awe-inspiring power of your thoughts to shape your reality. It’s an invitation to embrace the wonder of life, to view your manifestation journey with a sense of fascination, and to let this energy of wonder guide you towards your dreams. 

9 prints of this size, each comes with numbered Certificate of Authenticity.

Mount border size:  top 0.9 inches; bottom 0.9 inches; 0.6 inches left; 0.6 inches right.

Each print comes with a choice of frame: Oak, Black, and White 

You may order directly from www.lamoorart.com","Height 70cm, Width 100cm",Post-Impressionism,"https://anasaea.com/viewArtPiece/5z8tQkqZNCtsYn7CF
",downloaded_images/5z8tQkqZNCtsYn7CF_pic1024.jpeg
Nebula di Ioana,Fabrizio Terzi,$1850,"

","Height 160cm, Width 285cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/Sg2wNz5mkQHdHq3rK
",downloaded_images/Sg2wNz5mkQHdHq3rK_pic1024.jpeg
Cuco III,Raquel Leitão,E AVAILABLE ON REQUEST,Cuco III by Raquel Leitão,,,"https://anasaea.com/viewArtPiece/krzgwuH3upqL4Xzcn
",downloaded_images/krzgwuH3upqL4Xzcn_pic1024.jpeg
Running Free,Shari Blackwell,$100,"Digital Art, Native American Indian, Running Free",,Modern art,"https://anasaea.com/viewArtPiece/x4kYpeKSfFXFWRevp
",downloaded_images/x4kYpeKSfFXFWRevp_pic1024.jpeg
BERMUDA,Magnet,,BERMUDA by Magnet ,,Surrealism,"https://anasaea.com/viewArtPiece/LLjuJA4Fgr7isELMg
",downloaded_images/LLjuJA4Fgr7isELMg_pic1024.jpeg
Clowning,Wart 2.1,$200,Limited to 10 prints on fine paper numbered and signed by the author.,"Height 50cm, Width 50cm",Expressionism,"https://anasaea.com/viewArtPiece/B4ZLC7u5ZRtBuGcFY
",downloaded_images/B4ZLC7u5ZRtBuGcFY_pic1024.jpeg
HERMES,Silvia Borao Cuevas,$380,HERMES by Silvia Borao Cuevas,,Aestheticism,"https://anasaea.com/viewArtPiece/4bfkkuRcavbXbDLYa
",downloaded_images/4bfkkuRcavbXbDLYa_pic1024.jpeg
Nuit de l'Ébène: Ebony Night in Mosaic Grandeur,Calvin Lugalambi,$8000,"45H X 45W (IN) LIMITED EDITION
In ""Nuit de l'Ébène: Ebony Night in Mosaic Grandeur,"" the canvas becomes a stage for the celebration of the captivating beauty of the black woman. Within the depths of the ebony night, her radiance shines like a constellation of stars, illuminating the darkness with her undeniable presence.

As you behold the intricate patterns that adorn the canvas, you'll feel a sense of awe and reverence for the richness and depth of her beauty. Each fragment of the mosaic tells a story of strength, resilience, and grace, weaving a tapestry of empowerment that transcends time and space.

Through its grandeur and majesty, this piece honors the legacy of black women throughout history, inviting viewers to embrace and celebrate their unique beauty. The artist's masterful hand captures the essence of the ebony night, paying homage to the beauty that has long been overlooked and underestimated.

""Nuit de l'Ébène"" is more than just a work of art; it is a testament to the power and resilience of black women everywhere. It beckons us to recognize and appreciate the beauty that exists within each and every one of them, reminding us that true beauty knows no bounds and shines brightest in the darkest of nights.","Height 114.3cm, Width 114.3cm",Contemporary art,"https://anasaea.com/viewArtPiece/PDZDWagBk6nS2Td8q
",downloaded_images/PDZDWagBk6nS2Td8q_pic1024.jpeg
The Fly,Antonella Torquati,$650,"A poem in Italian: ""Uno scenario distante - di colori simmetrici - conforta e riscalda - gentile rassicura - ma vivo sbiadita - di freddo che gela - e una mosca si posa - a farmi compagnia""  // This painting is on sale as art-NFT (on demand ) and/or printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the  indicated price refers to the printable painting (40x40) and may vary depending on the size of the print (e.g. 30x30 or 50x50).","Height 40cm, Width 40cm",Contemporary art,"https://anasaea.com/viewArtPiece/cmGzohEG2hNahqRDd
",downloaded_images/cmGzohEG2hNahqRDd_pic1024.jpeg
Ethereal flower 2,Sandra Rojas,$10,AI and Photoshop Series ,,Good Design,"https://anasaea.com/viewArtPiece/r59TJhpt3aTYQKraC
",downloaded_images/r59TJhpt3aTYQKraC_pic1024.jpeg
"""Fallen Angel""",Charalabos Zichnalis,$50,"""Fallen Angel"" by Charalabos Zichnalis",,,"https://anasaea.com/viewArtPiece/ikaDf4jwDMovHt45P
",downloaded_images/ikaDf4jwDMovHt45P_pic1024.jpeg
Halftone Party Girls. Stella,Ana Mangot,E AVAILABLE ON REQUEST,Halftone Party Girls. Stella by Ana Mangot,,Pop art,"https://anasaea.com/viewArtPiece/JxRh8hFFAYzgiHcwA
",downloaded_images/JxRh8hFFAYzgiHcwA_pic1024.jpeg
Silhueta RBGAliud & Pollock 08,Harry Mahler,$1000,"Uma das primeiras obras usando o conceito de ""Arte Virtual Fusionada"" é uma forma inovadora de colaboração artística na qual artistas de diferentes disciplinas se unem para criar obras de arte virtuais que são posteriormente ""desvirtualizadas"" e trazidas para o mundo físico por meio de técnicas de artes plásticas. Esse processo envolve uma fusão criativa de habilidades digitais e tradicionais, resultando em uma experiência artística única que transcende os limites do mundo virtual e físico.

Uma homenagem a um dos artistas que me inspiraram a criar o RGBAliud, onde tento criar fusão de minha arte autoral com a de Paul Jackson Pollock

Foram utilizadas um mix de ferramentas digitais softwares de edição de imagem ""Krita, photoscapeX e IAs.

Método de desvirtualização: Pintura Acrílica sobre tela 
","Height 100cm, Width 100cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/7Dwj89E6J8bbMgnF7
",downloaded_images/7Dwj89E6J8bbMgnF7_pic1024.jpeg
A woman receives the sun's energy from her palm and gives it to someone to turn the energy around line art,akashicreader_yuto,,"When you hold back from receiving or worry too much about others, it can be hard to show your true self. Accepting things more openly can make you feel more relaxed and enriched. Your sympathetic nervous system is often heightened, so it's important to take breaks and fully express yourself. Try to be aware of both giving energy to others and receiving it for yourself.","Height 66cm, Width 66cm",Modern art,"https://anasaea.com/viewArtPiece/CQQvYRRaAgWtgccSG
",downloaded_images/CQQvYRRaAgWtgccSG_pic1024.jpeg
Heraclitus,Dato Captures,,One of the most inspiring aspects of self-expression in art is its ability to give voice to the silent emotions that reside within us.,"Height 31.75cm, Width 44.45cm",Abstract expressionism,"https://anasaea.com/viewArtPiece/rR8KTKDjb9rxQEb7B
",downloaded_images/rR8KTKDjb9rxQEb7B_pic1024.jpeg
Tiny One,Shari Blackwell,$60,"digital art, will remove watermark upon purchase, Tiny One",,Modern art,"https://anasaea.com/viewArtPiece/7fKdgNbLiJKX9cXEg
",downloaded_images/7fKdgNbLiJKX9cXEg_pic1024.jpeg
A TREE OF SEASONS,Afolabi Oluwunmi,$200,Immense yourself in the beauty of nature artwork,,Naturalism,"https://anasaea.com/viewArtPiece/EZpxmDxCjeXNwLADX
",downloaded_images/EZpxmDxCjeXNwLADX_pic1024.jpeg
inbound8149809387213303378,Rengin Dogal,E AVAILABLE ON REQUEST,inbound8149809387213303378 by Rengin Dogal,,Abstract expressionism,"https://anasaea.com/viewArtPiece/872ChkDFeQZjPo5D4
",downloaded_images/872ChkDFeQZjPo5D4_pic1024.jpeg
2 papessa.tarot card,Antonio Giachetti,,free interpretation Tarot Major Arcana. 22 Cards. Fine Print on paper. ©antoniogiachettiart,,Conceptual art,"https://anasaea.com/viewArtPiece/M8DhNhoKtM47Wnohg
",downloaded_images/M8DhNhoKtM47Wnohg_pic1024.jpeg
Fresh Air,Shari Blackwell,$100,"Digital Art, Native American Indian, Fresh Air",,Modern art,"https://anasaea.com/viewArtPiece/mPrEqTpkXqRtiQWuM
",downloaded_images/mPrEqTpkXqRtiQWuM_pic1024.jpeg
Childhood,Antonella Torquati,$650,"Childhood is not always easy to live... // This painting is on sale as art-NFT (on demand ) and/or printable on alu-PVC panel (limited edition, 1/3); the physical artwork will be shipped from Italy; the  indicated price refers to the printable painting (45x60) and may vary depending on the size of the print (e.g. 30x40).","Height 60cm, Width 45cm",Contemporary art,"https://anasaea.com/viewArtPiece/dsTY4B8igcKFkZ2Gi
",downloaded_images/dsTY4B8igcKFkZ2Gi_pic1024.jpeg
sweet dreams,Leeloo_mp / Masha B.,$125,(Titel by Eurythmics),"Height 45cm, Width 30cm",Surrealism,"https://anasaea.com/viewArtPiece/p7vsjWorchWZNsDLB
",downloaded_images/p7vsjWorchWZNsDLB_pic1024.jpeg
